Text,Keyword,Related Terms,keyword_id,sentiment_score
The way I turn on that little oven light.. like it's 1998 and my grandmother is quietly signaling the kitchen is closed.. to keep me from baking chocolate chip cookies at 1 am.,chocolate,"Chocolate,Charlie and the Chocolate Factory,Chocolate,Dark chocolate,Hot chocolate",5566,0.3041
i’ve eaten half of the christmas chocolates help me,chocolate,"Chocolate,Charlie and the Chocolate Factory,Chocolate,Dark chocolate,Hot chocolate",5566,0.4019
Spoons turned up from Moley’s collection drawer: One theory is that they were used by shaman as a primitive medicinal dispenser (before the widespread introduction of the Calpol syringe) but my informed opinion is it’s for eating chocolate hazelnut spread in measured doses. #ContemporaryArchaeology,chocolate,"Chocolate,Charlie and the Chocolate Factory,Chocolate,Dark chocolate,Hot chocolate",5566,0.0
"“People aren’t doing enough. Any suggestions?” “Yeah, let’s get them to buy elves and get them committed to posing the elf each day in mischievous positions throughout December for their child’s entertainment.” Sure, I’ll do that, but you’ll find each day the “elf” just wants to eat your chocolate.",chocolate,"Chocolate,Charlie and the Chocolate Factory,Chocolate,Dark chocolate,Hot chocolate",5566,0.296
my love for the toasted marshmallow hot chocolate is REAL,chocolate,"Chocolate,Charlie and the Chocolate Factory,Chocolate,Dark chocolate,Hot chocolate",5566,0.6369
It's super cold outside! hope you all are staying warm! Also I know when it's winter when we get the hot chocolate out!,chocolate,"Chocolate,Charlie and the Chocolate Factory,Chocolate,Dark chocolate,Hot chocolate",5566,0.8617
And some detail shots of the chocolate ooze. PS This is a work of fiction. No cats were harmed in the process by being fed chocolate.,chocolate,"Chocolate,Charlie and the Chocolate Factory,Chocolate,Dark chocolate,Hot chocolate",5566,-0.6486
Creaming the butter and the sugar....The begining of #chocolate brownies Yum! http://instagram.com/p/yj-E6kE_7e/,chocolate,"Chocolate,Charlie and the Chocolate Factory,Chocolate,Dark chocolate,Hot chocolate",5566,0.0
"Don’t 😭😂😂 mine was chocolate and I don’t know, it felt kinda rayyycistttt!",chocolate,"Chocolate,Charlie and the Chocolate Factory,Chocolate,Dark chocolate,Hot chocolate",5566,0.4574
Ended up getting bottle of mead and bottle of chocolate flavoured red wine from #Bath #ChristmasMarket for my in laws. Sounds sickly sweet but actually utterly lovely and a nicely unusual Cmas present. Bath besties - the stalls are round back of Abbey near Cheap Street - they give free samples....,chocolate,"Chocolate,Charlie and the Chocolate Factory,Chocolate,Dark chocolate,Hot chocolate",5566,0.9512
